Start Date,Hours,Time of Action,String,Node
04/28/2025,2,12:49 PM,B,1
04/28/2025,2,12:49 PM,B,2
04/28/2025,2,12:49 PM,B,3
04/28/2025,2,12:49 PM,B,4
04/28/2025,2,12:49 PM,B,5
04/28/2025,2,12:49 PM,B,6
04/28/2025,1,12:45 PM,A,2
04/28/2025,1,12:45 PM,A,3
04/28/2025,1,12:45 PM,A,4
04/28/2025,1,12:45 PM,A,5
04/28/2025,1,12:45 PM,A,6
04/28/2025,1,12:42 PM,A,1
04/28/2025,1,12:42 PM,A,2
04/28/2025,1,12:42 PM,A,3
04/28/2025,1,12:42 PM,A,4
04/28/2025,1,12:42 PM,A,5
04/28/2025,1,12:42 PM,A,6
04/28/2025,1,12:40 PM,A,1
04/28/2025,1,12:40 PM,A,3
04/28/2025,1,12:40 PM,A,5
