Start Date,Hours,Time of Action,String,Node
B,0x05,1743728400000,1743735600000
B,0x01,1743703620000,1743718020000
B,0x02,1743703620000,1743718020000
B,0x03,1743703620000,1743718020000
B,0x04,1743703620000,1743718020000
B,0x05,1743703620000,1743718020000
B,0x06,1743703620000,1743718020000
A,0x01,1743703620000,1743718020000
A,0x02,1743703620000,1743718020000
A,0x03,1743703620000,1743718020000
A,0x04,1743703620000,1743718020000
A,0x05,1743703620000,1743718020000
A,0x06,1743703620000,1743718020000
A,0x01,1743703500000,1743721500000
